Ticker,symbol,company_name,sector,sub_industry,daily_mean,daily_vol,annual_return_est,annual_vol_est,min_daily_return,max_daily_return
CBRE,CBRE,CBRE Group,Real Estate,Real Estate Services,0.0009433775486569109,0.022380400475087426,0.23773114226154154,0.3552778433946789,-0.17205690725441403,0.168032818210212
WMT,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,0.0009409634624884506,0.013954425782020679,0.23712279254708954,0.22151964184760842,-0.11375740487582597,0.11708538396396628
ORLY,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,0.0009345443992787069,0.01633985574290873,0.23550518861823413,0.25938716852644234,-0.15424781141442334,0.1288171309589754
FAST,FAST,Fastenal,Industrials,Trading Companies & Distributors,0.0009315645417690536,0.01732585565728264,0.2347542645258015,0.2750394319234284,-0.11021660511790943,0.17150222976212137
INTC,INTC,Intel,Information Technology,Semiconductors,0.000931112874238149,0.03016553053428616,0.23464044430801353,0.4788629517602793,-0.2605851455985698,0.2359988383395475
PGR,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,0.0009303950103711002,0.016484092702078783,0.23445954261351726,0.26167685926941114,-0.1311785912487361,0.12137242387369018
CFG,CFG,Citizens Financial Group,Financials,Regional Banks,0.0009301212248547921,0.026256549156873057,0.2343905486634076,0.4168097961349726,-0.21766702153153172,0.16996035224567674
MLM,MLM,Martin Marietta Materials,Materials,Construction Materials,0.000921844445267215,0.020020243603699056,0.23230480020733818,0.3178115145739156,-0.13548554622412934,0.13495795150938128
WST,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,0.0009213198919057426,0.023763553246600264,0.23217261276024714,0.37723471294647515,-0.38218322377342806,0.22783869797606715
MSI,MSI,Motorola Solutions,Information Technology,Communications Equipment,0.0009196558426057383,0.016800640824371542,0.23175327233664605,0.26670190492683776,-0.11957441155092441,0.1412068846189285
